State,MedianHouseholdIncome,Year
AK,86631,2022
AK,88121,2023
AK,90372,2024
AL,59674,2022
AL,62212,2023
AL,63618,2024
AR,55432,2022
AR,58700,2023
AR,60370,2024
AZ,74568,2022
AZ,77315,2023
AZ,78547,2024
CA,91551,2022
CA,95521,2023
CA,97869,2024
CO,89302,2022
CO,92911,2023
CO,94438,2024
CT,88429,2022
CT,91665,2023
CT,93007,2024
DE,81361,2022
DE,82174,2023
DE,83683,2024
FL,69303,2022
FL,73311,2023
FL,74989,2024
GA,72837,2022
GA,74632,2023
GA,76867,2024
HI,92458,2022
HI,95322,2023
HI,97076,2024
IA,69588,2022
IA,71433,2023
IA,72245,2024
ID,72785,2022
ID,74942,2023
ID,76811,2024
IL,76708,2022
IL,80306,2023
IL,81837,2024
IN,66785,2022
IN,69477,2023
IN,71363,2024
KS,68925,2022
KS,70333,2023
KS,71728,2024
KY,59341,2022
KY,61118,2023
KY,62804,2024
LA,55416,2022
LA,58229,2023
LA,59695,2024
MA,94488,2022
MA,99858,2023
MA,101708,2024
MD,94991,2022
MD,98678,2023
MD,100729,2024
ME,69543,2022
ME,73733,2023
ME,75524,2024
MI,66986,2022
MI,69183,2023
MI,70482,2024
MN,82338,2022
MN,85086,2023
MN,86879,2024
MO,64811,2022
MO,68545,2023
MO,70068,2024
MS,52719,2022
MS,54203,2023
MS,55774,2024
MT,67631,2022
MT,70804,2023
MT,71884,2024
NC,67481,2022
NC,70804,2023
NC,71699,2024
ND,71970,2022
ND,76525,2023
ND,77692,2024
NE,69597,2022
NE,74590,2023
NE,75498,2024
NH,89992,2022
NH,96838,2023
NH,98547,2024
NJ,96346,2022
NJ,99781,2023
NJ,101030,2024
NM,59726,2022
NM,62268,2023
NM,63543,2024
NV,72333,2022
NV,76364,2023
NV,77694,2024
NY,79557,2022
NY,82095,2023
NY,84054,2024
OH,65720,2022
OH,67769,2023
OH,69211,2024
OK,59673,2022
OK,62138,2023
OK,63494,2024
OR,75657,2022
OR,80160,2023
OR,81628,2024
PA,71798,2022
PA,73824,2023
PA,74699,2024
RI,81854,2022
RI,84972,2023
RI,86781,2024
SC,64115,2022
SC,67804,2023
SC,69662,2024
SD,69728,2022
SD,71810,2023
SD,73595,2024
TN,65254,2022
TN,67631,2023
TN,68450,2024
TX,72284,2022
TX,75780,2023
TX,77034,2024
UT,89168,2022
UT,93421,2023
UT,95612,2024
VA,85873,2022
VA,89931,2023
VA,92241,2024
VT,73991,2022
VT,81211,2023
VT,83463,2024
WA,91306,2022
WA,94605,2023
WA,96911,2024
WI,70996,2022
WI,74631,2023
WI,76764,2024
WV,54329,2022
WV,55948,2023
WV,57335,2024
WY,70042,2022
WY,72415,2023
WY,73681,2024
